Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
7.31,-32.22887598,-3.58098622,-7.161972439,0.982653061,-0.009183673,-0.107142857,-113.875,-10.875,21.6875
7.38,-25.06690354,-7.161972439,0,0.980612245,-0.003061224,-0.113265306,-114.625,-10.5,22.0625
7.44,-10.74295866,-10.74295866,7.161972439,0.982653061,-0.009183673,-0.107142857,-114.625,-10.5,22.0625
7.50,-10.74295866,3.58098622,10.74295866,0.982653061,-0.015306122,-0.107142857,-114.625,-10.875,21.3125
7.56,3.58098622,-14.32394488,7.161972439,0.982653061,-0.019387755,-0.103061224,-114.25,-9.75,21.6875
7.63,-25.06690354,-10.74295866,3.58098622,0.984693878,-0.019387755,-0.103061224,-114.25,-9.75,21.6875
7.69,-21.48591732,-21.48591732,-10.74295866,0.982653061,-0.015306122,-0.103061224,-114.25,-11.1875,21.6875
7.75,-28.64788976,-10.74295866,-7.161972439,0.982653061,-0.01122449,-0.105102041,-114.25,-11.1875,21.6875
7.81,-25.06690354,-25.06690354,-3.58098622,0.980612245,-0.007142857,-0.105102041,-114.25,-11.1875,21.6875
7.88,-14.32394488,-21.48591732,7.161972439,0.980612245,-0.01122449,-0.107142857,-114.625,-10.125,21.6875
7.94,-14.32394488,-21.48591732,7.161972439,0.980612245,-0.007142857,-0.113265306,-114.625,-10.125,21.6875
8.00,3.58098622,3.58098622,14.32394488,0.982653061,-0.017346939,-0.105102041,-114.625,-11.9375,22.375
8.06,-21.48591732,10.74295866,7.161972439,0.982653061,-0.019387755,-0.103061224,-115.3125,-11.1875,22.375
8.13,0,0,0,0.982653061,-0.019387755,-0.094897959,-115.3125,-11.1875,22.375
8.19,-35.8098622,-10.74295866,-10.74295866,0.978571429,-0.017346939,-0.098979592,-114.625,-11.5625,22.375
8.25,-17.9049311,-10.74295866,-17.9049311,0.980612245,-0.015306122,-0.105102041,-114.625,-9.75,22.0625
8.31,-21.48591732,-10.74295866,-7.161972439,0.984693878,-0.007142857,-0.113265306,-114.625,-9.75,22.0625
8.38,-17.9049311,-10.74295866,0,0.980612245,-0.005102041,-0.115306122,-115,-10.5,22.0625
8.44,7.161972439,-10.74295866,14.32394488,0.980612245,-0.007142857,-0.113265306,-115.3125,-11.1875,21.6875
8.50,-17.9049311,0,14.32394488,0.982653061,-0.01122449,-0.103061224,-115.3125,-11.1875,21.6875
8.56,17.9049311,0,14.32394488,0.982653061,-0.019387755,-0.096938776,-114.25,-11.1875,22
8.63,-25.06690354,0,0,0.982653061,-0.026530612,-0.094897959,-114.625,-10.125,22.0625
