Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
34.88,31150.99912,-2503.109367,-1371.517722,-0.386734694,-0.115306122,-0.226530612,-113.5625,15.125,16
34.94,30785.73853,-2506.690354,-1199.630384,-0.380612245,-0.109183673,-0.235714286,-115,8.25,12.8125
35.00,30363.18216,-2420.746684,-1131.591645,-0.369387755,-0.105102041,-0.203061224,-115.3125,0,14.1875
35.06,29725.76661,-2384.936822,-1170.982494,-0.359183673,-0.096938776,-0.198979592,-115.3125,0,14.1875
35.13,29270.98136,-2402.841753,-1181.725452,-0.359183673,-0.089795918,-0.194897959,-115.6875,-1.8125,23.4375
35.19,28805.45315,-2363.450905,-1102.943756,-0.343877551,-0.085714286,-0.203061224,-115.3125,2.875,29.125
35.25,28436.61157,-2230.954415,-1017.000086,-0.329591837,-0.091836735,-0.186734694,-115.3125,2.875,29.125
35.31,27913.78758,-2051.905104,-1085.038825,-0.318367347,-0.079591837,-0.165306122,-115,12.25,28.4375
35.38,27297.85795,-1944.475517,-1213.954328,-0.316326531,-0.056122449,-0.165306122,-115.3125,16.5625,22.0625
35.44,26857.39665,-1915.827627,-1360.774763,-0.318367347,-0.045918367,-0.152040816,-115.3125,16.5625,22.0625
35.50,26427.6783,-1926.570586,-1446.718433,-0.310204082,-0.052040816,-0.13877551,-115.3125,14.75,15.25
35.56,26040.93179,-1922.9896,-1461.042378,-0.306122449,-0.045918367,-0.147959184,-113.875,7.1875,11
35.63,25668.50922,-1883.598751,-1453.880405,-0.301020408,-0.040816327,-0.154081633,-113.875,7.1875,11
35.69,25313.99159,-1847.788889,-1439.55646,-0.292857143,-0.026530612,-0.128571429,-116.4375,0.3125,13.125
35.75,24891.43521,-1819.141,-1435.975474,-0.28877551,-0.024489796,-0.141836735,-116.75,-3.625,21.3125
35.81,24587.05138,-1776.169165,-1375.098708,-0.278571429,-0.021428571,-0.139795918,-116.75,-3.625,21.3125
35.88,24214.62882,-1700.968454,-1274.831094,-0.275510204,-0.021428571,-0.132653061,-116.0625,-2.1875,27
35.94,23999.76964,-1586.376895,-1178.144466,-0.26122449,-0.028571429,-0.126530612,-116.0625,-2.1875,27
36.00,23709.70976,-1428.813502,-1106.524742,-0.25,-0.01122449,-0.126530612,-114.625,6.125,31.625
36.06,23383.84001,-1253.345177,-1110.105728,-0.235714286,-0.013265306,-0.118367347,-113.5625,11.875,29.5
36.13,23043.64632,-1092.200797,-1163.820521,-0.230612245,0,-0.116326531,-113.5625,11.875,29.5
36.19,22642.57587,-1045.647976,-1253.345177,-0.230612245,-0.003061224,-0.101020408,-114.25,16.9375,22.75
36.25,22298.80119,-1038.486004,-1317.802929,-0.226530612,-0.007142857,-0.103061224,-115.3125,15.125,16
36.31,21937.12158,-1038.486004,-1335.70786,-0.220408163,0,-0.091836735,-115.3125,15.125,16
36.38,21614.83282,-1020.581073,-1324.964901,-0.216326531,0.013265306,-0.103061224,-114.25,9,11.375
36.44,21206.60039,-1017.000086,-1314.221943,-0.212244898,0.015306122,-0.098979592,-114.625,2.5,12.0625
36.50,20816.27289,-1042.06699,-1285.574053,-0.207142857,0.013265306,-0.096938776,-114.625,2.5,12.0625
36.56,20390.13553,-1088.619811,-1239.021232,-0.209183673,0.02244898,-0.091836735,-116.0625,-2.1875,14.9375
36.63,20014.13198,-1095.781783,-1178.144466,-0.201020408,0.019387755,-0.087755102,-115,-6.5,21.6875
